SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
US-SP2,"Slashpine-Mize-clearcut-3yr,regen",USA,FL,ENF,1999,2009,https://ameriflux.lbl.gov/sites/siteinfo/US-SP2,29.7648,-82.2448,50.0,Cfa,20.07,1314.41,CCBY4.0,1999,2008
US-SP3,Slashpine-Donaldson-mid-rot- 12yrs,USA,FL,ENF,1999,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-SP3,29.7548,-82.1633,50.0,Cfa,20.25,1312.35,CCBY4.0,1999,2010
US-SP4,Slashpine-Rayonier-mid-rot- 12yrs,USA,FL,ENF,1998,1998,https://ameriflux.lbl.gov/sites/siteinfo/US-SP4,29.8028,-82.2031,47.0,Cfa,20.0,1319.63,CCBY4.0,1998,1998
US-SRC,Santa Rita Creosote,USA,AZ,OSH,2008,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-SRC,31.9083,-110.8395,950.0,Bwh,22.0,330.0,CCBY4.0,2008,2014
US-SRG,Santa Rita Grassland,USA,AZ,GRA,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SRG,31.7894,-110.8277,1291.0,Bsk,17.0,420.0,CCBY4.0,2008,2023
US-SRM,Santa Rita Mesquite,USA,AZ,WSA,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SRM,31.8214,-110.8661,1120.0,Bsk,17.92,380.0,CCBY4.0,2004,2023
US-Srr,Suisun marsh - Rush Ranch,USA,CA,WET,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Srr,38.2006,-122.0264,8.0,Csa,15.1,326.0,CCBY4.0,2014,2017
US-SRS,Santa Rita Savanna,USA,AZ,WSA,2011,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-SRS,31.8173,-110.8508,1169.0,Bsk,19.4,388.0,CCBY4.0,2011,2018
US-SSH,Susquehanna Shale Hills Critical Zone Observatory,USA,PA,DBF,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SSH,40.6658,-77.9041,310.0,Dfb,9.5,1050.0,CCBY4.0,2016,2021
US-Sta,Saratoga,USA,WY,OSH,2006,2009,https://ameriflux.lbl.gov/sites/siteinfo/US-Sta,41.3966,-106.8024,2069.0,Bsh,5.1,,CCBY4.0,2005,2009
US-StJ,St Jones Reserve,USA,DE,WET,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-StJ,39.0882,-75.4372,6.7,Cfa,13.5,1121.0,CCBY4.0,2014,2017
US-StS,Strawberry Swamp,USA,SC,WET,2015,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-StS,33.3302,-79.2492,0.0,Cfa,18.1,1300.0,CCBY4.0,-2147483648,-2147483648
US-SuM,Maui Sugarcane Middle,USA,HI,CRO,2013,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-SuM,20.7981,-156.454,21.0,Aw,24.1,287.0,CCBY4.0,2013,2014
US-SuS,Maui Sugarcane Lee/Sheltered,USA,HI,CRO,2011,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-SuS,20.7847,-156.4039,203.0,Aw,24.4,334.0,CCBY4.0,2011,2014
US-SuW,Maui Sugarcane Windy,USA,HI,CRO,2011,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-SuW,20.8246,-156.4913,44.0,Aw,24.4,366.0,CCBY4.0,2011,2013
US-Syv,Sylvania Wilderness Area,USA,MI,MF,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Syv,46.242,-89.3477,540.0,Dfb,3.81,826.0,CCBY4.0,2001,2023
US-SZ1,"St. John, WA On-farm site Zone 1",USA,WA,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SZ1,47.1245,-117.5306,657.0,Csb,9.5,437.4,LEGACY,-2147483648,-2147483648
US-SZ2,"St. John, WA On-farm site Zone 2",USA,WA,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SZ2,47.1226,-117.5271,664.0,Csb,9.5,437.4,LEGACY,-2147483648,-2147483648
US-SZ3,"St. John, WA On-farm site Zone 3",USA,WA,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SZ3,47.1261,-117.5267,687.0,Csb,9.5,437.4,LEGACY,-2147483648,-2147483648
US-TaS,Taylor Slough/Panhandle,USA,FL,WET,2016,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-TaS,25.1908,-80.6391,3.0,Cwa,23.7,986.8,CCBY4.0,2016,2023
US-TCS,Tall Cypress Swamp,USA,FL,WET,2012,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-TCS,25.8221,-81.1017,1.2,Cfa,23.6,1312.0,CCBY4.0,-2147483648,-2147483648
US-TEF,Tenderfoot Creek Experimental Forest,USA,MT,ENF,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-TEF,46.9522,-110.8851,2280.0,Dfc,0.0,880.0,CCBY4.0,2010,2012
US-TFF,Thompson Farm Forest,USA,NH,MF,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-TFF,43.1084,-70.9523,23.3,Dfb,8.9,1170.0,LEGACY,-2147483648,-2147483648
US-Ton,Tonzi Ranch,USA,CA,WSA,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ton,38.4309,-120.966,177.0,Csa,15.8,559.0,CCBY4.0,2001,2023
US-TrB,Trout Bog,USA,WI,WAT,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-TrB,46.0412,-89.6862,499.0,Dfb,3.8,787.0,CCBY4.0,2020,2020
US-TrS,Trout Lake Area South Sparkling Bog,USA,WI,WAT,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-TrS,46.0034,-89.7053,495.0,Dfb,3.8,787.0,CCBY4.0,2020,2020
US-Tur,Turner Ranch,USA,MT,GRA,2017,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-Tur,45.5571,-111.2286,1530.0,Dfb,6.67,670.0,CCBY4.0,2017,2018
US-Tw1,Twitchell Wetland West Pond,USA,CA,WET,2012,2023,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw1,38.1074,-121.6469,-5.0,Csa,15.5,421.0,CCBY4.0,2011,2022
US-Tw2,Twitchell Corn,USA,CA,CRO,2012,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw2,38.0969,-121.6365,-5.0,Csa,15.5,421.0,CCBY4.0,2012,2013
US-Tw3,Twitchell Alfalfa,USA,CA,CRO,2013,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw3,38.1152,-121.6469,-4.0,Csa,15.6,421.0,CCBY4.0,2013,2018
US-Tw4,Twitchell East End Wetland,USA,CA,WET,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw4,38.1027,-121.6413,-5.0,Csa,15.6,421.0,CCBY4.0,2013,2022
US-Tw5,East Pond Wetland,USA,CA,WET,2018,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-Tw5,38.1072,-121.6426,-5.0,Csa,15.5,421.0,CCBY4.0,2018,2020
US-Twt,Twitchell Island,USA,CA,CRO,2009,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-Twt,38.1087,-121.6531,-7.0,Csa,15.6,421.0,CCBY4.0,2009,2017
US-Tx1,Stiles Farm Prairie,USA,TX,GRA,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx1,30.6176,-97.2938,157.0,Cfa,25.6,889.0,LEGACY,-2147483648,-2147483648
US-Tx2,Riesel Farm Native Prairie,USA,TX,GRA,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx2,31.4802,-96.8827,162.0,Cfa,18.95,914.0,LEGACY,-2147483648,-2147483648
US-Tx3,Riesel Farm Aspirational Agriculture,USA,TX,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx3,31.4777,-96.8883,167.0,Cfa,18.95,914.0,LEGACY,-2147483648,-2147483648
US-Tx4,Riesel Farm Traditional Agriculture,USA,TX,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx4,31.4693,-96.8865,173.0,Cfa,18.95,914.0,LEGACY,-2147483648,-2147483648
US-Tx5,Texas A&M University Farm,USA,TX,CVM,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx5,30.5328,-96.4252,68.0,Cfa,19.95,991.0,LEGACY,-2147483648,-2147483648
US-Tx6,La Copita Grassland - Savanna,USA,TX,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx6,27.6666,-98.2089,82.0,Cfa,22.2,716.0,LEGACY,-2147483648,-2147483648
US-Tx7,La Copita Shrubland - Savanna,USA,TX,CSH,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx7,27.665,-98.2007,82.0,Cfa,22.2,716.0,LEGACY,-2147483648,-2147483648
US-Tx8,Danciger Lowland Hardwood Forest,USA,TX,DBF,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx8,29.1659,-95.829,16.0,Cfa,20.6,1143.0,LEGACY,-2147483648,-2147483648
US-Tx9,Sargent Unit Salt Marsh,USA,TX,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Tx9,28.7805,-95.6144,0.0,Cfa,21.15,1245.0,LEGACY,-2147483648,-2147483648
US-Uaf,"University of Alaska, Fairbanks",USA,AK,ENF,2002,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Uaf,64.8663,-147.8555,155.0,Dwc,-2.9,263.0,CCBY4.0,2003,2023
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,USA,PA,CVM,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UC1,40.7536,-78.0056,390.0,Dfb,10.1,1006.35,CCBY4.0,2019,2023
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,USA,PA,CVM,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UC2,40.7559,-77.9998,396.0,Dfb,10.1,1006.35,CCBY4.0,2019,2023
US-UG1,East River Riparian,USA,CO,OSH,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UG1,38.923,-106.9524,2755.0,Dsc,8.0,750.0,CCBY4.0,-2147483648,-2147483648
US-UiA,University of Illinois Switchgrass,USA,IL,CRO,2008,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-UiA,40.0646,-88.1961,224.0,Dfa,10.9,1051.0,CCBY4.0,2008,2016
US-UiB,University of Illinois Miscanthus,USA,IL,CRO,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UiB,40.0628,-88.1984,224.0,Dfa,10.9,1051.0,CCBY4.0,2008,2021
US-UiC,University of Illinois Maize-Soy,USA,IL,CRO,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UiC,40.0628,-88.1961,224.0,Dfa,10.9,1051.0,CCBY4.0,2008,2016
US-UiD,University of Illinois Restored Native Prairie,USA,IL,GRA,2008,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-UiD,40.0646,-88.1985,224.0,NA_character_,10.9,1051.0,CCBY4.0,2008,2016
US-UiE,University of Illinois Sorghum-Soy,USA,IL,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UiE,40.0629,-88.2033,217.0,Dfa,11.2,1021.0,CCBY4.0,-2147483648,-2147483648
US-UiF,University of Illinois Miscanthus 2,USA,IL,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UiF,40.0665,-88.2015,220.0,Dfa,11.2,1021.0,CCBY4.0,-2147483648,-2147483648
US-UiG,University of Illinois Maize-Soy 2,USA,IL,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UiG,40.0629,-88.2009,220.0,Dfa,11.2,1021.0,CCBY4.0,-2147483648,-2147483648
US-ULM,ULM Flux Tower,USA,LA,DBF,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-ULM,32.457,-91.9743,20.0,Cfa,18.77,1356.36,LEGACY,-2147483648,-2147483648
US-UM3,Douglas Lake,USA,OH,WAT,2013,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-UM3,45.5686,-84.6707,234.0,Dfb,5.83,803.0,CCBY4.0,2013,2014
US-UMB,Univ. of Mich. Biological Station,USA,MI,DBF,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UMB,45.5598,-84.7138,234.0,Dfb,5.83,803.0,CCBY4.0,2000,2023
US-UMd,UMBS Disturbance,USA,MI,DBF,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UMd,45.5625,-84.6975,239.0,Dfb,5.83,803.0,CCBY4.0,2007,2023
US-Upa,Upad,USA,AK,WET,1993,1994,https://ameriflux.lbl.gov/sites/siteinfo/US-Upa,70.2815,-148.8848,5.0,Dsc,-13.57,123.68,LEGACY,1994,1994
US-UTB,UFLUX Bonneville Salt Flats,USA,UT,BSV,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UTB,40.7848,-113.8299,1287.0,Bwk,10.6,138.59,CCBY4.0,2021,2024
US-UTD,UFLUX Dugout Ranch,USA,UT,CRO,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UTD,38.1038,-109.5952,1580.0,Bwk,12.0,215.65,CCBY4.0,-2147483648,-2147483648
US-UTM,UFLUX Matheson,USA,UT,WET,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UTM,38.5879,-109.5775,1207.0,Bsk,13.0,240.03,CCBY4.0,-2147483648,-2147483648
US-UTN,UFLUX Nephi,USA,UT,CRO,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UTN,39.6896,-111.8814,1529.0,Dfa,10.2,396.0,CCBY4.0,2023,2023
US-UTV,UFLUX Desert View,USA,UT,CRO,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UTV,40.1266,-109.9546,1539.0,Bsk,16.7,177.0,CCBY4.0,-2147483648,-2147483648
US-UTW,UFLUX Wellington,USA,UT,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-UTW,39.4453,-110.7288,1682.0,Dfa,9.6,225.22,CCBY4.0,-2147483648,-2147483648
US-Var,Vaira Ranch- Ione,USA,CA,GRA,2000,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Var,38.4133,-120.9508,129.0,Csa,15.8,559.0,CCBY4.0,2000,2023
US-Vcm,Valles Caldera Mixed Conifer,USA,NM,ENF,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Vcm,35.8884,-106.5321,3030.0,Dfb,6.4,646.0,CCBY4.0,2007,2023
US-Vcp,Valles Caldera Ponderosa Pine,USA,NM,ENF,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Vcp,35.8642,-106.5967,2500.0,Dfb,9.8,550.0,CCBY4.0,2007,2023
US-Vcs,Valles Caldera Sulphur Springs Mixed Conifer,USA,NM,ENF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Vcs,35.9193,-106.6142,2752.0,Dfb,4.6,550.93,CCBY4.0,2016,2023
US-VFP,Virginia Coast Reserve Fowling Point,USA,VA,WET,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-VFP,37.4111,-75.8333,1.0,Cfa,14.05,1023.3,LEGACY,-2147483648,-2147483648
US-WBW,Walker Branch Watershed,USA,TN,DBF,1995,1999,https://ameriflux.lbl.gov/sites/siteinfo/US-WBW,35.9588,-84.2874,283.0,Cfa,13.71,1372.05,LEGACY,1995,2007
US-WCr,Willow Creek,USA,WI,DBF,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-WCr,45.8059,-90.0799,520.0,Dfb,4.02,787.0,CCBY4.0,1998,2023
US-Wdn,Walden,USA,CO,OSH,2006,2008,https://ameriflux.lbl.gov/sites/siteinfo/US-Wdn,40.7838,-106.2618,2469.0,Bsh,3.3,,LEGACY,2006,2008
US-WEP,West Edge Parking Lot,USA,NH,URB,2014,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-WEP,43.1421,-70.9543,27.0,Dfb,8.9,1170.0,LEGACY,-2147483648,-2147483648
US-Wgr,Willamette Grass,USA,OR,CRO,2015,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-Wgr,45.1129,-122.656,52.0,Csb,11.58,1194.0,LEGACY,2015,2015
US-Whs,Walnut Gulch Lucky Hills Shrub,USA,AZ,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Whs,31.7438,-110.0522,1370.0,Bsk,17.6,320.0,CCBY4.0,2007,2023
US-Wi0,Young red pine (YRP),USA,WI,ENF,2002,2002,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi0,46.6188,-91.0814,349.0,Dfb,,,CCBY4.0,2002,2002
US-Wi1,Intermediate hardwood (IHW),USA,WI,DBF,2003,2003,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi1,46.7305,-91.2329,352.0,Dfb,,,CCBY4.0,2003,2003
US-Wi2,Intermediate red pine (IRP),USA,WI,ENF,2003,2003,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi2,46.6869,-91.1528,395.0,Dfb,,,CCBY4.0,2003,2003
US-Wi3,Mature hardwood (MHW),USA,WI,DBF,2002,2004,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi3,46.6347,-91.0987,411.0,Dfb,,,CCBY4.0,2002,2004
US-Wi4,Mature red pine (MRP),USA,WI,ENF,2002,2005,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi4,46.7393,-91.1663,352.0,Dfb,,,CCBY4.0,2002,2005
US-Wi5,Mixed young jack pine (MYJP),USA,WI,ENF,2004,2004,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi5,46.6531,-91.0858,353.0,Dfb,,,CCBY4.0,2004,2004
US-Wi6,Pine barrens #1 (PB1),USA,WI,OSH,2002,2002,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi6,46.6249,-91.2982,371.0,Dfb,,,CCBY4.0,2002,2003
US-Wi7,Red pine clearcut (RPCC),USA,WI,OSH,2005,2005,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi7,46.6491,-91.0693,335.0,Dfb,,,CCBY4.0,2005,2005
US-Wi8,Young hardwood clearcut (YHW),USA,WI,DBF,2002,2002,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi8,46.7223,-91.2524,348.0,Dfb,,,CCBY4.0,2002,2002
US-Wi9,Young Jack pine (YJP),USA,WI,ENF,2004,2005,https://ameriflux.lbl.gov/sites/siteinfo/US-Wi9,46.7385,-91.0746,350.0,Dfb,,,CCBY4.0,2004,2005
US-Wjs,Willard Juniper Savannah,USA,NM,SAV,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Wjs,34.4255,-105.8615,1931.0,Bsk,15.2,361.0,CCBY4.0,2007,2023
US-Wkg,Walnut Gulch Kendall Grasslands,USA,AZ,GRA,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Wkg,31.7365,-109.9419,1531.0,Bsk,15.64,407.0,CCBY4.0,2004,2023
US-Wlr,Walnut River Watershed (Smileyburg),USA,KS,GRA,2001,2004,https://ameriflux.lbl.gov/sites/siteinfo/US-Wlr,37.5208,-96.855,408.0,Cfa,13.52,881.0,CCBY4.0,2001,2004
US-Wpp,Willamette Poplar,USA,OR,DBF,2015,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-Wpp,44.1369,-123.1824,111.0,Csb,11.39,1293.0,LEGACY,2015,2015
US-WPT,Winous Point North Marsh,USA,OH,WET,2011,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-WPT,41.4646,-82.9962,175.0,Dfa,10.1,849.0,CCBY4.0,2011,2013
US-Wrc,Wind River Crane Site,USA,WA,ENF,1998,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-Wrc,45.8205,-121.9519,371.0,Csb,8.8,2452.0,CCBY4.0,1998,2015
US-WT1,"Kress, TX no-till cotton and grain sorghum production",USA,TX,CRO,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-WT1,34.3674,-101.8154,1058.0,Bsk,14.4,482.0,CCBY4.0,-2147483648,-2147483648
US-Wwt,Willamette Wheat,USA,OR,CRO,2014,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-Wwt,45.1089,-122.6664,52.0,Csb,11.58,1194.0,LEGACY,2014,2015
US-xAB,NEON Abby Road (ABBY),USA,WA,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xAB,45.7624,-122.3303,363.0,Csb,10.0,2450.59,CCBY4.0,2017,2022
US-xAE,NEON Klemme Range Research Station (OAES),USA,OK,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xAE,35.4106,-99.0588,516.0,Cfa,15.5,778.85,CCBY4.0,2017,2022
US-xBA,NEON Barrow Environmental Observatory (BARR),USA,AK,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xBA,71.2824,-156.6194,6.0,ET,-12.0,110.0,CCBY4.0,2017,2022
US-xBL,NEON Blandy Experimental Farm (BLAN),USA,VA,DBF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xBL,39.0603,-78.0716,183.0,Cfa,12.1,982.55,CCBY4.0,2017,2022
US-xBN,NEON Caribou Creek - Poker Flats Watershed (BONA),USA,AK,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xBN,65.154,-147.5026,263.0,Dwc,-2.0,275.0,CCBY4.0,2017,2022
US-xBR,NEON Bartlett Experimental Forest (BART),USA,NH,DBF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xBR,44.0639,-71.2873,232.0,Dfb,5.6,1246.0,CCBY4.0,2017,2022
US-xCL,NEON LBJ National Grassland (CLBJ),USA,TX,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xCL,33.4012,-97.57,259.0,Cfa,17.5,925.61,CCBY4.0,2017,2022
US-xCP,NEON Central Plains Experimental Range (CPER),USA,CO,GRA,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xCP,40.8155,-104.7456,1654.0,Bsk,8.6,320.0,CCBY4.0,2016,2022
US-xDC,NEON Dakota Coteau Field School (DCFS),USA,ND,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xDC,47.1617,-99.1066,559.0,Dfb,4.9,489.74,CCBY4.0,2017,2022
US-xDJ,NEON Delta Junction (DEJU),USA,AK,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xDJ,63.8811,-145.7514,529.0,Dfc,-2.0,300.0,CCBY4.0,2017,2022
US-xDL,NEON Dead Lake (DELA),USA,AL,MF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xDL,32.5417,-87.8039,22.0,Cfa,17.6,1372.0,CCBY4.0,2017,2022
US-xDS,NEON Disney Wilderness Preserve (DSNY),USA,FL,CVM,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xDS,28.125,-81.4362,15.0,Cfa,22.5,1216.09,CCBY4.0,2017,2022
US-xGR,"NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)",USA,TN,DBF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xGR,35.689,-83.5019,579.0,Cfa,13.1,1375.0,CCBY4.0,2017,2022
US-xHA,NEON Harvard Forest (HARV),USA,MA,DBF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xHA,42.5369,-72.1727,351.0,Dfb,6.62,1071.0,CCBY4.0,2017,2022
US-xHE,NEON Healy (HEAL),USA,AK,OSH,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xHE,63.8757,-149.2133,705.0,ET,-4.0,320.0,CCBY4.0,2017,2022
US-xJE,NEON Jones Ecological Research Center (JERC),USA,GA,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xJE,31.1948,-84.4686,44.0,Cfa,19.2,1307.97,CCBY4.0,2017,2022
US-xJR,NEON Jornada LTER (JORN),USA,NM,OSH,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xJR,32.5907,-106.8425,1329.0,Bsk,15.7,271.33,CCBY4.0,2017,2022
US-xKA,NEON Konza Prairie Biological Station - Relocatable (KONA),USA,KS,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xKA,39.1104,-96.6129,1329.0,Cfa,12.7,850.63,CCBY4.0,2017,2022
US-xKZ,NEON Konza Prairie Biological Station (KONZ),USA,KS,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xKZ,39.1008,-96.5631,381.0,Cfa,12.4,870.38,CCBY4.0,2017,2022
US-xLE,NEON Lenoir Landing (LENO),USA,AL,DBF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xLE,31.8539,-88.1612,20.0,Cfa,18.1,1386.24,CCBY4.0,2017,2022
US-xMB,NEON Moab (MOAB),USA,UT,OSH,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xMB,38.2483,-109.3883,1767.0,Bsk,10.1,319.46,CCBY4.0,2017,2022
US-xML,NEON Mountain Lake Biological Station (MLBS),USA,VA,DBF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xML,37.3783,-80.5248,1126.0,Dfb,8.8,1227.82,CCBY4.0,2017,2022
US-xNG,NEON Northern Great Plains Research Laboratory (NOGP),USA,ND,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xNG,46.7697,-100.9154,578.0,Dfb,5.9,456.51,CCBY4.0,2017,2022
US-xNQ,NEON Onaqui-Ault (ONAQ),USA,UT,OSH,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xNQ,40.1776,-112.4524,1685.0,Dfb,9.0,288.31,CCBY4.0,2017,2022
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),USA,CO,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xNW,40.0543,-105.5824,3513.0,Dfc,0.3,1004.54,CCBY4.0,2017,2022
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),USA,HI,EBF,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xPU,19.5531,-155.3173,1685.0,Cfb,13.0,2685.0,CCBY4.0,2019,2022
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",USA,CO,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xRM,40.2759,-105.5459,2743.0,Dfc,2.9,730.59,CCBY4.0,2017,2022
US-xRN,NEON Oak Ridge National Lab (ORNL),USA,TN,DBF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xRN,35.9641,-84.2826,334.0,Cfa,14.4,1340.32,CCBY4.0,2017,2022
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),USA,FL,ENF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xSB,29.6893,-81.9934,45.0,Cfa,20.9,1302.09,CCBY4.0,2017,2022
US-xSC,NEON Smithsonian Conservation Biology Institute (SCBI),USA,VA,DBF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-xSC,38.8929,-78.1395,361.0,Cfa,11.6,1125.5,CCBY4.0,2016,2022
