SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",USA,AK,OSH,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EML,63.8784,-149.2536,662.0,ET,-1.0,378.0,CCBY4.0,2008,2020
US-EPM,Edwards Plateau Martin,USA,TX,SAV,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EPM,30.8167,-99.8619,,Cfa,19.0,600.0,CCBY4.0,-2147483648,-2147483648
US-Esm,Everglades (short hydroperiod marsh),USA,FL,WET,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Esm,25.4379,-80.5946,1.07,NA_character_,,,CCBY4.0,2008,2015
US-EvM,Everglades Saltwater intrusion marsh,USA,FL,WET,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EvM,25.3539,-80.381,0.332,NA_character_,24.2,1200.0,CCBY4.0,2020,2022
US-FBE,Bob Allen Key LTER East,USA,FL,WAT,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-FBE,25.0266,-80.6814,0.0,Cfa,25.5,1525.0,CCBY4.0,-2147483648,-2147483648
US-Fcr,Cascaden Ridge Fire Scar,USA,AK,OSH,2011,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-Fcr,65.3968,-148.9348,265.0,Dwc,-2.4,,CCBY4.0,2011,2014
US-Fmf,Flagstaff - Managed Forest,USA,AZ,ENF,2006,2010,https://ameriflux.lbl.gov/sites/siteinfo/US-Fmf,35.1426,-111.7273,2160.0,Csb,9.5,546.0,CCBY4.0,2005,2010
US-Fo1,Flux Observations of Carbon from an Airborne Laboratory (FOCAL) Campaign Site 1,USA,AK,WET,NA_character_,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Fo1,70.085,-148.5671,28.0,Dsc,,,LEGACY,-2147483648,-2147483648
US-Fo2,Flux Observations of Carbon from an Airborne Laboratory (FOCAL) Campaign Site 2,USA,AK,WET,NA_character_,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Fo2,70.0229,-148.6598,41.0,Dsc,,,LEGACY,-2147483648,-2147483648
US-FPe,Fort Peck,USA,MT,GRA,2000,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-FPe,48.3077,-105.1019,634.0,Bsk,5.48,334.8,LEGACY,2000,2008
US-FR1,Freeman Ranch- Grassland,USA,TX,GRA,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-FR1,29.93,-98.01,230.0,Cfa,19.56,866.65,LEGACY,-2147483648,-2147483648
US-FR2,Freeman Ranch- Mesquite Juniper,USA,TX,WSA,2004,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-FR2,29.9495,-97.9962,271.9,Cfa,19.48,864.0,LEGACY,2005,2008
US-FR3,Freeman Ranch- Woodland,USA,TX,CSH,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-FR3,29.94,-97.99,232.0,Cfa,19.59,869.23,LEGACY,2004,2012
US-Fuf,Flagstaff - Unmanaged Forest,USA,AZ,ENF,2006,2010,https://ameriflux.lbl.gov/sites/siteinfo/US-Fuf,35.089,-111.762,2180.0,Csb,8.7,562.0,CCBY4.0,2005,2010
US-Fwf,Flagstaff - Wildfire,USA,AZ,GRA,2006,2010,https://ameriflux.lbl.gov/sites/siteinfo/US-Fwf,35.4454,-111.7718,2270.0,Csb,8.4,557.0,CCBY4.0,2005,2010
US-GBT,GLEES Brooklyn Tower,USA,WY,ENF,1991,2006,https://ameriflux.lbl.gov/sites/siteinfo/US-GBT,41.3658,-106.2397,3191.0,Dfc,0.8,1200.0,CCBY4.0,1999,2006
US-GCE,Georgia Coastal Ecosystems LTER Flux Tower,USA,GA,WET,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GCE,31.4441,-81.2835,0.625,Cfa,19.83,1284.0,LEGACY,-2147483648,-2147483648
US-GL1,Stannard Rock,USA,MI,WAT,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GL1,47.1835,-87.2251,183.0,Dfb,5.4,,CCBY4.0,2008,2022
US-GL2,Granite Island,USA,MI,WAT,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GL2,46.7167,-87.4,183.0,Dfb,6.6,762.0,CCBY4.0,-2147483648,-2147483648
US-GLE,GLEES,USA,WY,ENF,2002,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GLE,41.3665,-106.2399,3197.0,Dfc,0.8,1200.0,CCBY4.0,1999,2020
US-GMF,Great Mountain Forest,USA,CT,MF,1999,2004,https://ameriflux.lbl.gov/sites/siteinfo/US-GMF,41.9667,-73.2333,380.0,Dfb,6.08,1258.79,LEGACY,1999,2004
US-Goo,Goodwin Creek,USA,MS,GRA,2002,2006,https://ameriflux.lbl.gov/sites/siteinfo/US-Goo,34.2547,-89.8735,87.0,Cfa,15.89,1425.77,LEGACY,2002,2006
US-GZ1,"Genesee, ID On-farm site Zone 1",USA,WA,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GZ1,46.5008,-116.8068,746.0,Csb,11.4,294.1,LEGACY,-2147483648,-2147483648
US-GZ2,"Genesee, ID On-farm site Zone 2",USA,WA,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GZ2,46.4978,-116.8047,731.0,Csb,11.4,294.1,LEGACY,-2147483648,-2147483648
